,name,height,weight
0,alex,1.67,2.87
1,ajay,1.82,3.47
2,alice,1.76,3.89
3,ravi,1.73,3.62
4,joe,1.72,3.67
5,alex,1.67,2.87
6,ajay,1.82,3.47
7,alice,1.76,3.89
8,ravi,1.73,3.62
9,joe,1.72,3.67
10,alex,1.67,2.87
11,ajay,1.82,3.47
12,alice,1.76,3.89
13,ravi,1.73,3.62
14,joe,1.72,3.67
15,jack,1.74,3.13
16,tom,1.77,3.59
17,tracy,1.78,3.47
18,john,1.72,2.85
19,jack,1.74,3.13
20,tom,1.77,3.59
21,tracy,1.78,3.47
22,john,1.72,2.85
23,jack,1.74,3.13
24,tom,1.77,3.59
25,tracy,1.78,3.47
26,john,1.72,2.85
27,simon,1.72,2.85
28,jacob,1.7,3.07
29,cindy,1.69,3.24
30,ivan,1.72,2.9
31,simon,1.72,2.85
32,jacob,1.7,3.07
33,cindy,1.69,3.24
34,ivan,1.72,2.9
35,simon,1.72,2.85
36,jacob,1.7,3.07
37,cindy,1.69,3.24
38,ivan,1.72,2.9
